"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Camden","10377","US-13039","13","39","53924","282","116","19243.75","215.12","59.34","32","3013","21","35"
"Candler","1487","US-13043","13","43","10837","121","59","13721.51","544.43","9.23","1","1023","48","54"
"Carroll","16494","US-13045","13","45","120119","503","193","13731.38","160.67","93.24","112","11043","300","400"
"Catoosa","14105","US-13047","13","47","68771","445","152","20510.1","221.02","34.9","24","2606","46","47"
"Charlton","2514","US-13049","13","49","13251","130","48","18972.15","362.24","347.14","46","903","17","23"
"Chatham","63257","US-13051","13","51","292176","3995","904","21650.31","309.4","105.76","309","13807","102","109"
"Chattahoochee","6836","US-13053","13","53","10749","65","17","63596.61","158.15","46.52","5","950","5","3"
"Chattooga","5877","US-13055","13","55","24766","364","128","23730.11","516.84","113.06","28","1588","18","24"
"Cherokee","53281","US-13057","13","57","266617","2731","632","19984.1","237.04","161.28","430","20564","52","70"
"Clarke","30320","US-13059","13","59","129779","1683","236","23362.79","181.85","132.53","172","4135","17","13"
"Clay","386","US-13061","13","61","2855","15","6","13520.14","210.16","105.08","3","215","1","4"
"Clayton","68807","US-13063","13","63","304838","4005","984","22571.66","322.79","135.81","414","7045","83","32"
"Clinch","1552","US-13065","13","65","6656","100","42","23317.31","631.01","30.05","2","859","3","11"
"Cobb","166934","US-13067","13","67","790588","5465","1848","21115.17","233.75","169.37","1339","43678","181","263"
"Coffee","8635","US-13069","13","69","43042","1189","240","20061.8","557.59","20.91","9","2980","63","146"
